Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1758635370997054,1,-1,6,-13,-3,2,1,0
1,Flexão,1,1758635370997054,-2,1,6,11,1,-6,0,-1
1,Flexão,1,1758635371011852,-1,1,1,-17,-2,0,-2,-1
1,Flexão,1,1758635371011852,-4,-7,11,9,2,-1,0,-1
1,Flexão,1,1758635371013854,-2,-5,-5,-12,-1,0,-2,1
1,Flexão,1,1758635371013854,-1,3,1,-10,-3,-3,0,-2
1,Flexão,1,1758635371042172,-1,0,6,28,0,-12,-1,-1
1,Flexão,1,1758635371042172,0,-2,-2,-4,-2,15,0,0
1,Flexão,1,1758635371043170,1,0,2,6,2,-3,0,1
1,Flexão,1,1758635371043170,1,-4,3,-9,-2,-5,-1,-1
1,Flexão,1,1758635371047675,-1,-2,-1,11,3,4,2,1
1,Flexão,1,1758635371047675,-1,0,-1,-21,-6,-11,-1,-1
1,Flexão,1,1758635371056145,-2,1,-8,5,2,3,-1,-2
1,Flexão,1,1758635371056145,-4,0,2,3,0,1,-2,1
1,Flexão,1,1758635371072277,0,-1,-4,4,-2,0,-2,-2
1,Flexão,1,1758635371072277,0,0,-1,-7,-5,-2,-1,0
1,Flexão,1,1758635371073269,-3,-3,4,1,0,0,0,-1
1,Flexão,1,1758635371073269,-2,-2,-17,-15,-3,-3,0,0
1,Flexão,1,1758635371094469,-2,-1,-2,-6,-2,0,-2,-3
1,Flexão,1,1758635371094469,0,-1,5,-1,2,1,-1,0
1,Flexão,1,1758635371095469,-1,-1,-7,13,3,2,0,-1
1,Flexão,1,1758635371095469,0,-1,3,-3,-5,-4,-1,1
1,Flexão,1,1758635371108393,0,-1,0,18,0,2,2,-1
1,Flexão,1,1758635371108393,-1,2,4,-3,-4,-4,-3,-1
1,Flexão,1,1758635371116720,-1,-4,-11,-16,-4,-5,0,-3
1,Flexão,1,1758635371116720,0,-1,4,72,5,4,1,0
1,Flexão,1,1758635371131692,0,1,-1,-25,-5,2,-1,-1
1,Flexão,1,1758635371131692,-3,-4,2,11,2,-1,-2,0
1,Flexão,1,1758635371133698,1,2,0,-10,-3,0,0,1
1,Flexão,1,1758635371133698,-1,0,-1,-18,2,6,1,1
1,Flexão,1,1758635371154623,1,-1,-8,1,-3,-1,-2,-2
1,Flexão,1,1758635371154623,0,1,5,17,-2,-5,-1,-3
1,Flexão,1,1758635371155589,-1,-2,-4,-12,-4,-1,-2,-2
1,Flexão,1,1758635371155589,0,5,4,-9,1,-9,-2,-3
1,Flexão,1,1758635371168593,-2,1,0,5,5,8,1,0
1,Flexão,1,1758635371168593,1,2,15,-5,2,5,1,2
1,Flexão,1,1758635371176274,-3,-5,-28,-2,-7,-11,-2,-3
1,Flexão,1,1758635371176274,-1,-3,4,-31,-2,4,0,-2
1,Flexão,1,1758635371191361,0,-2,9,17,3,-10,-1,-1
